name,category_list,funding_total_usd,status,country_code,state_code,city,funding_rounds,Investors,Number_of_Investors,Acquirer,Acquirer_Category,Acquirer_Country,Acquirer_State,Acquirer_City,Acquired_Price,Acquired Currency,county,founded_at,Coordinates
Inkling,Software,0.02,operating,USA,IL,Chicago,2,Y Combinator:20000,1,-,-,-,-,-,-,-,Cook,2007,34.070648:-84.275907
Inkling Systems,Software,77.124999,operating,USA,CA,San Francisco,8,Felicis Ventures:63199999.0|General Atlantic:15000000|Icon Ventures:33600000.0|Kapor Capital:47199999.0|McGraw-Hill Education:21400000.0|Pearson Education:39000000.0|Sequoia Capital:63199999.0|Sherpalo Ventures:32199999.0|Tenaya Capital:48600000.0|Ulu Ventures:925000|Aydin Senkut:925000|Mitchell Kapor:925000|Ram Shriram:925000,13,-,-,-,-,-,-,-,San Francisco,2009,37.727239:-123.032229
Inkra Networks,Software,56.3,operating,USA,CA,Fremont,2,Battery Ventures:56300000.0|Greenstone Venture Partners:56300000.0|Morgenthaler Ventures:30100000|Norwest Venture Partners - NVP:56300000.0|Storm Ventures:56300000.0,5,-,-,-,-,-,-,-,Alameda,2000,35.834444:-78.840821
Inkshares,Services,1.18,operating,USA,CA,San Francisco,2,Indicator Ventures:865000|QueensBridge Venture Partners:865000|Y Combinator:865000|Lawrence Levitsky:315000,4,-,-,-,-,-,-,-,San Francisco,2013,36.1718:-86.785002
inkSIG Digital,Entertainment,0.39,operating,USA,MN,Minneapolis,2,M3 Masters:200000|Tom Linzmeier:200000,2,-,-,-,-,-,-,-,Hennepin,1993,30.307182:-97.755996
Inktd,Software,0.025,operating,USA,PA,Pittsburgh,1,AlphaLab:25000,1,-,-,-,-,-,-,-,Allegheny,2013,47.620499:-122.350876
Inmagic,Software,7,operating,USA,MA,Woburn,2,Edison Partners:7000000.0,1,-,-,-,-,-,-,-,Middlesex,1983,41.837551:-87.681844
InMobi,Marketing,320.6,operating,USA,CA,San Francisco,6,Kleiner Perkins Caufield & Byers:15100000.0|Mumbai Angels:500000|Polaris Partners:200000000|Sherpalo Ventures:15100000.0|SoftBank Capital:205000000.0|Tennenbaum Capital Partners:100000000,6,-,-,-,-,-,-,-,San Francisco,2007,37.727239:-123.032229
inmobly,Entertainment,4.445,operating,USA,OH,Columbus,5,Alta Ventures Mexico:1650000.0|Ohio TechAngels Fund:1400000|Rev1 Ventures:1400000,3,-,-,-,-,-,-,-,Franklin,2011,37.494373:-121.941117
InMoji,Marketing,2.75,operating,USA,MA,Boston,3,David Chang:2500000.0,1,-,-,-,-,-,-,-,Suffolk,2014,37.727239:-123.032229
inMotionNow,Software,1.251,operating,USA,NC,Morrisville,2,Madison River Ventures:1251000.0,1,-,-,-,-,-,-,-,Wake,1999,44.963323:-93.268284
Innalabs Holding,Software,4.88,operating,USA,VA,Dulles,1,Allianz Life Insurance:4880000,1,-,-,-,-,-,-,-,Loudoun,2001,40.439753:-79.976592
Innara Health,Health,0.17,operating,USA,KS,Olathe,2,Serra Ventures:170000,1,-,-,-,-,-,-,-,Johnson,2007,42.488659:-71.154425
Inneractive,Marketing,11.5,operating,USA,NY,New York,3,Evergreen Venture Partners:11500000.0|Kreos Capital:3500000|Andy Fruchter:5000000|Ehud Hillman:5000000|Idan Ofer:5000000,5,-,-,-,-,-,-,-,New York,2007,37.727239:-123.032229
InnerWorkings,Finance,12.96,ipo,USA,CA,San Francisco,2,Balderton Capital:12960000.0|Mohr Davidow Ventures:12960000.0,2,-,-,-,-,-,-,-,San Francisco,2002,39.984799:-82.985044
InnFocus Inc,Technology,34.8,operating,USA,FL,Miami,2,Crown Venture Fund:32800000|HOYA CORPORATION:32800000|Santen Pharmaceutical:32800000|Saints Capital:32800000,4,-,-,-,-,-,-,-,Miami-dade,2003,42.33196:-71.020173
INNJOY Travel,Software,0.185,operating,USA,FL,Sanibel,1,Sea Turtle Production:185000,1,-,-,-,-,-,-,-,Lee,2014,35.834444:-78.840821
InnoCentive,Services,30.3,operating,USA,MA,Waltham,4,In-Q-Tel:7300000|Lilly Ventures:9000000|Omidyar Network:9000000|SAP:6500000|Spencer Trask & Co.:15500000.0,5,-,-,-,-,-,-,-,Middlesex,2001,-1
Innocrin Pharmaceuticals,Pharmaceuticals,36,operating,USA,NC,Durham,2,Eshelman Ventures:28000000,1,-,-,-,-,-,-,-,Durham,2004,38.884279:-94.818848
Innometrix Inc,Health,0.05,operating,USA,TN,Memphis,2,Innova Memphis:50000|MB Venture Partners:50000,2,-,-,-,-,-,-,-,Shelby,2014,40.664274:-73.9385
InnomiNet,Software,0.025,operating,USA,PA,Pittsburgh,1,AlphaLab:25000,1,-,-,-,-,-,-,-,Allegheny,2008,37.727239:-123.032229
InnoPath Software,Manufacturing,38.5,operating,USA,CA,Sunnyvale,3,CDIB Ventures:18000000|Mitsui & Co. Global Investment:38500000.0|Nippon Venture Capital:20500000|VantagePoint Capital Partners:38500000.0|Vertex Ventures:18000000,5,-,-,-,-,-,-,-,Santa Clara,1999,25.775163:-80.208615
InnoPharma,Technology,43,acquired,USA,NJ,Piscataway,3,"Athyrium Opportunities Fund:20000000|Comerica Bank:8000000|NXT Capital:8000000|Thomas, McNerney & Partners:15000000",4,Pfizer,Biotechnology,USA,NY,New York,225000000,USD,Middlesex,2005,26.451038:-82.105676
InnoSpring Seed Fund,Manufacturing,10,operating,USA,CA,Santa Clara,1,Wanxiang America:10000000,1,-,-,-,-,-,-,-,Santa Clara,2012,42.388921:-71.242268
Innotas,Software,23.734059,operating,USA,CA,San Francisco,6,ArrowPath Venture Partners:12750000.0|ComVentures:5500000|Velocity Venture Capital:6000000,3,-,-,-,-,-,-,-,San Francisco,2000,35.980964:-78.905647
Innovasic Semiconductor,Hardware,6.22,operating,USA,NM,Albuquerque,1,Grayhawk Capital:6220000|Red River Ventures:6220000|Sensor Technology:6220000|Valley Ventures:6220000,4,-,-,-,-,-,-,-,Bernalillo,1991,35.103543:-89.978498
Innovatient Solutions,Health,4.049516,operating,USA,CT,Farmington,5,Connecticut Innovations:2660000.0,1,-,-,-,-,-,-,-,Hartford,2010,40.439753:-79.976592
Innovative Biologics,Technology,0.1,operating,USA,VA,Herndon,1,CIT GAP Funds:100000,1,-,-,-,-,-,-,-,Fairfax,2003,37.385784:-122.026323
Innovative Biosensors,Technology,20.166221,operating,USA,MD,Rockville,5,"Chart Venture Partners:9500000|CNF Investments, LLC:9500000|Harbert Venture Partners:13000000.0|Maryland Department of Business and Economic Development:9500000|Maryland Venture Fund:3500000|The New Markets Growth Fund:3500000",6,-,-,-,-,-,-,-,Montgomery,2004,-1
Innovative Micro Technology,Manufacturing,17,operating,USA,CA,Santa Barbara,1,BA Venture Partners:17000000|Investor Growth Capital:17000000|Miramar Venture Partners:17000000,3,-,-,-,-,-,-,-,Santa Barbara,2000,37.364613:-121.967934
Innovative Pulmonary Solutions,Health,20.6,operating,USA,WA,Bellevue,2,Advanced Technology Ventures:20600000.0|Morgenthaler Ventures:20600000.0|Split Rock Partners:20600000.0|Versant Ventures:20600000.0,4,-,-,-,-,-,-,-,King,2008,37.727239:-123.032229
Innovative Silicon,Hardware,47,closed,USA,CA,Santa Clara,3,Auriga Partners:47000000.0|Austin Ventures:16000000|Highland Capital Partners:22000000.0|Index Ventures:22000000.0|Wellington Partners:25000000,5,-,-,-,-,-,-,-,Santa Clara,2002,35.105552:-106.647388
Innovid,Marketing,37.6,operating,USA,NY,New York,5,Cisco Investments:10000000|Genesis Partners:37600000.0|Sequoia Capital:30500000.0|T-Venture:34600000.0|Vintage Investment Partners:11000000,5,-,-,-,-,-,-,-,New York,2007,-1
innRoad,Services,18.561214,operating,USA,NY,New York,7,Blue Heron Capital:5800000|J. Hunt Holdings:3665904|Rose Park Advisors:5800000|Various Angels:1900000,4,-,-,-,-,-,-,-,New York,2007,38.970411:-77.387108
Inogen,Health,51.645996,ipo,USA,CA,Goleta,3,Accuitive Medical Ventures:22000000|Arboretum Ventures:22000000|Avalon Ventures:22000000|Novo A/S:42000000.0|Versant Ventures:22000000,5,-,-,-,-,-,-,-,Santa Barbara,2001,39.083647:-77.155618
Inotek Pharmaceuticals,Technology,69.9,ipo,USA,MA,Lexington,4,Care Capital:69900000.0|Devon Park BioVentures:30600000.0|La Caisse de dépôt et placement du Québec:19300000|MedImmune Ventures:69900000.0|Pitango Venture Capital:49900000.0|Rho Capital Partners:23600000|Rho Ventures:46300000.0,7,-,-,-,-,-,-,-,Middlesex,1996,34.398899:-119.713356
Inova Drone,Manufacturing,0.12,operating,USA,CA,San Diego,1,Qualcomm Incorporated:120000|Techstars:120000,2,-,-,-,-,-,-,-,San Diego,2014,47.597839:-122.156489
Inova Labs,Health,38.065772,operating,USA,TX,Austin,4,Gilde Healthcare Partners:17500000|Latterell Venture Partners:17500000|Three Arch Partners:17500000,3,-,-,-,-,-,-,-,Travis,2002,37.364613:-121.967934
Inova Payroll,Services,7.1,operating,USA,TN,Nashville,4,"Clayton Associates:3500000|Nashville Capital Network, Investment Arm:7100000.0",2,-,-,-,-,-,-,-,Davidson,2010,40.664274:-73.9385
Inovio Pharmaceuticals,Technology,108.3,closed,USA,PA,Blue Bell,2,Darpa:45000000,1,-,-,-,-,-,-,-,Montgomery,1983,40.664274:-73.9385
Inovus Solar,Technology,3.831975,operating,USA,ID,Boise,3,Alliance of Angels:2150001|Point B Capital:2150001|RAIN Source Capital:860000,3,-,-,-,-,-,-,-,Ada,2007,34.434875:-119.857741
InPhase Technologies,Hardware,67.1,operating,USA,CO,Longmont,3,ALPS Information Technology Fund:47100000.0|Bayer Material Science:52100000.0|Hitachi Maxell:67100000.0|Japan Asia Investment:47100000.0|Nanotech Partners:32100000|New Venture Partners:67100000.0|Newton Technology Partners:15000000|Signal Lake:35000000.0|Yasuda Enterprise Development:47100000.0,9,-,-,-,-,-,-,-,Boulder,2000,42.445743:-71.230909
INPHI,Hardware,45.795665,ipo,USA,CA,Santa Clara,4,Cadence Design Systems:18690000|Flextronics International:12000000|Mayfield Fund:30690000.0|Tallwood Venture Capital:30690000.0|Walden International:30690000.0,5,-,-,-,-,-,-,-,Santa Clara,2000,32.8153:-117.134993
InPhonic,Software,56,ipo,USA,DC,Washington,1,Technology Crossover Ventures:56000000,1,-,-,-,-,-,-,-,District Of Columbia,1997,30.307182:-97.755996
Inporia,Finance,1.25,closed,USA,CA,San Francisco,1,500 Startups:1250000|Clearstone Venture Partners:1250000|Ignition Partners:1250000|New Enterprise Associates:1250000|Southern Cross Venture Partners:1250000|Start Fund:1250000|SV Angel:1250000|Karl Jacob:1250000|Lance White:1250000,9,-,-,-,-,-,-,-,San Francisco,2011,36.1718:-86.785002
Inprentus,Technology,0.125,operating,USA,IL,Champaign,1,Serra Ventures:125000,1,-,-,-,-,-,-,-,Champaign,2012,40.147352:-75.26868
Inpria Corporation,Manufacturing,13.16,operating,USA,OR,Corvallis,3,"Applied Ventures:4700000|Intel Capital:4700000|Oregon Angel Fund:7300000|Samsung Ventures:4700000|The R-Group, LLC:7300000",5,-,-,-,-,-,-,-,Benton,2007,-1
InquisitHealth,Health,0.597001,operating,USA,NJ,Hackensack,2,Hudson River Capital Partners:597001,1,-,-,-,-,-,-,-,Bergen,2011,40.169853:-105.101841
inRentive,Software,0.1,operating,USA,IL,Chicago,1,Steve Case:100000,1,-,-,-,-,-,-,-,Cook,2012,37.364613:-121.967934
INRFOOD,Software,0.437,operating,USA,NC,Durham,5,Health Wildcatters:30000|Houston Health Ventures:185000|NC IDEA:42000|Bhatia Funds:185000,4,-,-,-,-,-,-,-,Durham,2011,38.904149:-77.017094
INRIX,Software,143.100018,operating,USA,WA,Kirkland,9,August Capital:68100000.0|Bain Capital:10000000|Bain Capital Ventures:15000000|Intel Capital:10000000|Kleiner Perkins Caufield & Byers:37000000|Venrock:31100000.0,6,-,-,-,-,-,-,-,King,2004,37.727239:-123.032229
Insensi,Hardware,3.045,operating,USA,NY,New York,2,Felicis Ventures:2400000|Metamorphic Ventures:2400000,2,-,-,-,-,-,-,-,New York,2014,40.115057:-88.273652
Inside Warehouse,Marketing,0.32,operating,USA,CA,San Francisco,1,BIP Group:320000,1,-,-,-,-,-,-,-,San Francisco,2013,44.569949:-123.278285
InsideSales.com,Software,201.200024,operating,USA,UT,Provo,4,Acadia Woods Partners:100000000|EPIC Ventures:100000000|HWVP:201200024.0|Kleiner Perkins Caufield & Byers:160649981.0|Microsoft:60649981|Microsoft Corporation - Strategic Investments:60649981|Polaris Partners:160649981.0|Salesforce Ventures:160649981.0|U.S. Venture Partners (USVP):197200024.0|Zetta Venture Partners:160649981.0|Josh James:4000000,11,-,-,-,-,-,-,-,Utah,2004,40.889398:-74.045698
InsideTrack,Education,5.75,operating,USA,CA,San Francisco,3,El Dorado Ventures:2000000,1,-,-,-,-,-,-,-,San Francisco,2001,41.837551:-87.681844
InsideView,Software,75.962,operating,USA,CA,San Francisco,7,Big Sky Partners:32500000|Emergence Capital Partners:43400000.0|Foundation Capital:61500000.0|Greenhouse Capital Partners:12500000.0|Rembrandt Venture Partners:68562000.0|Split Rock Partners:49500000.0|Spring Lake Equity Partners:32500000,7,-,-,-,-,-,-,-,San Francisco,2005,35.980964:-78.905647
Insight Direct (ServiceCEO),Software,8.3,operating,USA,MA,Boston,3,Key Venture Partners:6000000,1,-,-,-,-,-,-,-,Suffolk,1997,47.684664:-122.191466
Insight Energy,Services,100,operating,USA,WA,Bainbridge Island,1,Warburg Pincus:100000000,1,-,-,-,-,-,-,-,Kitsap,2002,40.664274:-73.9385
Insight Guru,Software,3,operating,USA,MA,Boston,2,Village Ventures:1600000,1,-,-,-,-,-,-,-,Suffolk,2007,37.727239:-123.032229
InSightec,Health,119.9,operating,USA,TX,Dallas,3,Boston MedTech Advisors:89000000.0|Elbit Imaginh Ltd:89000000.0|GE Capital:30000000|GE Healthcare:89900000.0|GEOC:59000000|York Capital Management:59000000,6,-,-,-,-,-,-,-,Dallas,1999,40.24533:-111.644807
Insightera,Services,6.5,acquired,USA,CA,San Mateo,2,Glilot Capital Partners:6500000.0|Lightspeed Venture Partners:5000000|Opus Capital:5000000,3,Marketo,Analytics|B2B|Brand Marketing|Lead Generation|Lead Management|Optimization|Software,USA,CA,San Mateo,20000000,USD,San Mateo,2009,37.727239:-123.032229
Insightfulinc,Software,0.25,closed,USA,WA,Seattle,1,InvisibleCRM:250000,1,-,-,-,-,-,-,-,King,2013,37.727239:-123.032229
Insightly,Services,13,operating,USA,CA,San Francisco,2,Cloud Apps Capital Partners:10000000|Emergence Capital Partners:13000000.0|Sozo Ventures:10000000|TrueBridge Capital Partners:10000000|Matt Holleran:10000000,5,-,-,-,-,-,-,-,San Francisco,2009,42.33196:-71.020173
Insightpool,Automation,4.5,operating,USA,GA,Atlanta,3,Silicon Valley Bank:4000000|TDF Ventures:4000000|Peter J. Kight:4000000|Steve Chamberlain:4000000|Steve Koonin:4000000|Tim Trankina:250000,6,-,-,-,-,-,-,-,Fulton,2012,47.649254:-122.514838
InsightSquared,Software,27,operating,USA,MA,Cambridge,4,Atlas Venture:27000000.0|Bessemer Venture Partners:4500000|Converge Venture Partners:1000000|Draper Fisher Jurvetson (DFJ):21500000.0|GrandBanks Capital:1000000|NextView Ventures:19000000.0|Salesforce Ventures:4500000|Two Sigma Ventures:13500000|Dharmesh Shah:1000000|Michael McDerment:1000000,10,-,-,-,-,-,-,-,Middlesex,2010,42.33196:-71.020173
"Insikt, Inc.",Finance,120.5,operating,USA,CA,San Francisco,6,Accelerator Ventures:25500000.0|Atalaya Capital:17200000|Continental Investors:24200000.0|FirstMark Capital:24200000.0|Insikt Ventures:1300000|Investment AB Kinnevik:1300000|Jefferies & Company:17200000|Peterson Ventures:18500000.0|Revolution LLC:17200000|Revolution Ventures:17200000|Serengeti Asset Management:24200000.0|Dan Carroll:17900000.0|David Bonderman:17200000|Jeremy Philips:7000000|John Waldron:17200000|Mark Troughton:17200000|Matt Coffin:17200000|Philip Purcell:25500000.0|Rajiv Ghatalia:25500000.0|Rick Heitzmann:7000000|Tim Dattels:8300000.0|Tom Villante:7000000,22,-,-,-,-,-,-,-,San Francisco,2012,32.794176:-96.765503
inSilica,Hardware,30.063363,operating,USA,CA,Santa Clara,3,Crossbow Ventures:18000000|Flextronics International:28000000.0|Intel Capital:18000000|NewPath Ventures:28000000.0|The Dow Chemical Company:18000000,5,-,-,-,-,-,-,-,Santa Clara,2003,37.56031:-122.3106
InSite Medical technologies,Health,2.290612,operating,USA,CA,Saratoga,4,National Science Foundation:100000,1,-,-,-,-,-,-,-,Santa Clara,2009,47.620499:-122.350876
Insite Software,Software,16.815,operating,USA,MN,Minneapolis,1,Volition Capital:16815000,1,-,-,-,-,-,-,-,Hennepin,2002,37.727239:-123.032229
InSite Wireless,Mobile,25.952539,operating,USA,VA,Alexandria,6,Viridian Investment Partners:7000000,1,-,-,-,-,-,-,-,Loudoun,2000,33.762909:-84.422675
InsiteVR,Services,0.12,operating,USA,NY,New York,1,Y Combinator:120000,1,-,-,-,-,-,-,-,New York,2014,42.375967:-71.118275
Insitu,Manufacturing,21.33,operating,USA,WA,Bingen,1,Battery Ventures:21330000|Second Avenue Partners:21330000,2,-,-,-,-,-,-,-,Klickitat,1994,37.727239:-123.032229
InSpa,Software,3.721004,operating,USA,WA,Bellevue,4,Alliance of Angels:1901004,1,-,-,-,-,-,-,-,King,1999,37.364613:-121.967934
Inspirato,Style,79.7,operating,USA,CO,Denver,5,Access Venture Partners:13200000|CrunchFund:13200000|DAG Ventures:15500000|IVP:40000000.0|Kleiner Perkins Caufield & Byers:13200000|Millennium Technology Value Partners:35500000.0|W Capital Partners:20000000|Mark Teixeira:13200000,8,-,-,-,-,-,-,-,Jefferson,2011,37.268546:-122.025102
Inspire Energy,Services,8.2,operating,USA,CA,Santa Monica,2,BAM Ventures:5000000|Crosscut Ventures:8200000.0|Double M Partners:8200000.0|Heritage Group:5000000|JUMP Investors:5000000,5,-,-,-,-,-,-,-,Los Angeles,2014,44.963323:-93.268284
Inspire Medical Systems,Technology,57,operating,USA,MN,Maple Grove,2,Aperture Venture Partners:40000000|GDN Holdings:40000000|Johnson & Johnson Development Corporation:40000000|Kleiner Perkins Caufield & Byers:57000000.0|Medtronic:40000000|OrbiMed Advisors:40000000|Synergy Life Science Partner:40000000|TGap Ventures:40000000|U.S. Venture Partners (USVP):57000000.0,9,-,-,-,-,-,-,-,Hennepin,2007,38.818343:-77.082026
Inspirock,Travel,3,operating,USA,CA,East Palo Alto,1,MakeMyTrip.com:3000000,1,-,-,-,-,-,-,-,Santa Clara,2012,40.664274:-73.9385
Inspiron Logistics Corporation,Software,0.5,operating,USA,OH,Cuyahoga Falls,2,JumpStart Inc.:500000.0,1,-,-,-,-,-,-,-,Summit,2003,45.714728:-121.468196
Instabase,Software,3.77,operating,USA,CA,San Francisco,2,Greylock Partners:3750000|New Enterprise Associates:3750000|Rough Draft Ventures:20000,3,-,-,-,-,-,-,-,San Francisco,2015,47.597839:-122.156489
Instacart,Finance,274.8,operating,USA,CA,San Francisco,5,American Express Ventures:44000000|Andreessen Horowitz:264000000.0|Canaan Partners:54800000.0|Comcast Ventures:220000000|Dragoneer Investment Group:220000000|FundersClub:2300000|Khosla Ventures:274800000.0|Kleiner Perkins Caufield & Byers:220000000|Sequoia Capital:272500000.0|SV Angel:8500000|Thrive Capital:220000000|Valiant Capital Partners:220000000|Aaron Levie:44000000|Paul Buchheit:8500000|Sam Altman:44000000|Semil Shah:2300000,16,-,-,-,-,-,-,-,San Francisco,2012,39.761849:-104.880625
InstaEDU,Education,5.1,closed,USA,CA,San Francisco,2,Battery Ventures:4000000|Correlation Ventures:4000000|Signatures Capital:5100000.0|Social Capital:5100000.0|Bobby yad:1100000|Bobby Yazdani:5100000.0|Dylan Smith:5100000.0|John Johnston:5100000.0|Nicolas Berggruen:4000000|Nirav Tolia:5100000.0|Paul Sethi:4000000|Todd Bradley:5100000.0,12,Chegg,Consumers|Education|Online Rental|Textbooks,USA,CA,Santa Clara,30000000,USD,San Francisco,2011,34.023413:-118.481666
Instagram,Mobile,57.5,acquired,USA,CA,San Francisco,3,Andreessen Horowitz:500000|Baseline Ventures:57500000.0|Benchmark:57000000.0|Greylock Partners:50000000|Sequoia Capital:50000000|Thrive Capital:50000000|Adam D'Angelo:7000000|Chris Sacca:7000000|Jack Dorsey:7000000,9,Facebook,All Students|Colleges|Communities|Identity|Social Media,USA,CA,Menlo Park,1010470000,USD,San Francisco,2010,45.112764:-93.462975
InstallMonetizer,Marketing,0.5,operating,USA,CA,San Jose,2,Andreessen Horowitz:500000|Digital Garage:500000|Fenox Venture Capital:500000|SV Angel:500000|Transmedia Capital:500000,5,-,-,-,-,-,-,-,Santa Clara,2010,37.46778:-122.13255
InstaMed,Finance,79.209599,operating,USA,PA,Philadelphia,15,Ashby Point Capital:6000000|Ben Franklin Technology Partners:17000000|Benjamin Franklin Technology Partners:3800000.0|Midas Capital:17000000|NJTC Venture Fund:32500000.0|Osage Partners:17000000|Osage Venture Partners:12000000.0|U.S. Bancorp:12500000.0,8,-,-,-,-,-,-,-,Philadelphia,2004,41.182881:-81.553008
Instamour,Entertainment,0.105,operating,USA,PA,Philadelphia,2,StartFast Venture Accelerator:25000,1,-,-,-,-,-,-,-,Philadelphia,2013,37.727239:-123.032229
"Instant API, Inc.",Software,0.105,operating,USA,DE,Lewes,3,Acceleprise Ventures:30000|Tech Wildcatters:25000|Mimi Ling:50000|Scott Ling:50000,4,-,-,-,-,-,-,-,Sussex,2014,37.727239:-123.032229
Instant eSports,Software,2.13,operating,USA,CA,San Francisco,2,Advancit Capital:1950000|BoxGroup:1950000|Crosscut Ventures:1950000|Greylock Partners:1950000|KPCB Edge:180000|Undisclosed:1950000|Y Combinator:180000,7,-,-,-,-,-,-,-,San Francisco,2015,37.727239:-123.032229
Instant Labs Medical Diagnostics Corp.,Technology,0.875,operating,USA,MD,Baltimore,1,Maryland Venture Fund:875000,1,-,-,-,-,-,-,-,Baltimore City,2008,37.727239:-123.032229
Instantly,Marketing,29.54,operating,USA,CA,Encino,4,DFJ Frontier:14540000.0|DuPont Capital Management:15000000|Greycroft Partners:13250000.0|OpenView Venture Partners:25250000.0,4,-,-,-,-,-,-,-,Los Angeles,2008,37.296867:-121.819306
Instapio,Software,0.15,operating,USA,CA,Sunnyvale,1,Kima Ventures:150000|Jeremie Berrebi:150000,2,-,-,-,-,-,-,-,Santa Clara,2013,40.009376:-75.133346
Instart Logic,Services,95,operating,USA,CA,Palo Alto,4,Andreessen Horowitz:95000000.0|Four Rivers Group:69000000.0|Greylock Partners:52000000.0|Hermes Growth Partners:43000000|Kleiner Perkins Caufield & Byers:69000000.0|Sutter Hill Ventures:43000000.0|Tenaya Capital:86000000.0|Wing Venture Capital:9000000,8,-,-,-,-,-,-,-,Santa Clara,2010,40.009376:-75.133346
Instavest,Finance,0.12,operating,USA,CA,Mountain View,2,Y Combinator:120000,1,-,-,-,-,-,-,-,Santa Clara,2014,38.778527:-75.143769
Instinctiv,Hardware,1.420698,acquired,USA,NY,New York,4,Cayuga Venture Fund:750000|Rose Tech Ventures:750000,2,SoundCloud Inc.,Artists Globally|Independent Music Labels|Music|Network Security|Usability,USA,CA,Los Angeles,10000000,USD,New York,2007,37.727239:-123.032229
InStore Audio Network,Marketing,12,operating,USA,UT,Salt Lake City,1,Gladstone Capital:12000000,1,-,-,-,-,-,-,-,Salt Lake,2001,39.300213:-76.610516
Instructure,Education,79.1,ipo,USA,UT,Salt Lake City,4,Bessemer Venture Partners:70000000.0|EPIC Ventures:79100000.0|Insight Venture Partners:40000000|OpenView Venture Partners:48000000.0|TomorrowVentures:38000000.0|Josh Coates:1100000|Tim Draper:8000000,7,-,-,-,-,-,-,-,Salt Lake,2008,-1
Insulet,Technology,68.5,ipo,USA,MA,Bedford,3,Alta Partners:35500000|FirstMark Capital:35500000|MedVenture Associates:35500000|Oakwood Medical Investors:57500000.0|Pequot Ventures:22000000|Piper Jaffray:35500000|Prism Venture Management:68500000.0|Schroder Ventures:11000000|SV Life Sciences:57500000.0|TIAA-CREF:35500000|Versant Ventures:68500000.0,11,-,-,-,-,-,-,-,Middlesex,2000,37.385784:-122.026323
Insureon,Finance,31,operating,USA,IL,Chicago,2,Accretive LLC:31000000|Oak HC/FT:31000000,2,-,-,-,-,-,-,-,Cook,1997,37.399782:-122.142776
InsureZone,Finance,8.199999,operating,USA,TX,Fort Worth,1,Buena Venture Associates:8199999,1,-,-,-,-,-,-,-,Tarrant,1999,37.399364:-122.079517
InSync Software,Software,12.399999,operating,USA,CA,San Jose,3,Intel Capital:12200000.0|Rustic Canyon Partners:12200000.0,2,-,-,-,-,-,-,-,Santa Clara,2008,40.664274:-73.9385
Intacct,Finance,139.8,operating,USA,CA,San Jose,9,Battery Ventures:30000000|Bessemer Venture Partners:115800000.0|Costanoa Venture Capital:75000000.0|Emergence Capital Partners:76800000.0|HWVP:7000000|JK&B Capital:7000000|Sigma Partners:129800000.0|Silicon Valley Bank:58500000.0|Split Rock Partners:55800000.0|Sutter Hill Ventures:54800000.0,10,-,-,-,-,-,-,-,Santa Clara,1999,40.77852:-111.931414
Intact Vascular,Health,62.437496,operating,USA,PA,Wayne,5,H.I.G. BioVentures:53500000.0|New Enterprise Associates:38000000|Quaker BioVentures:15500000|Quaker Partners:38000000,4,-,-,-,-,-,-,-,Delaware,2011,40.77852:-111.931414
Intale Inc.,Software,2.95,operating,USA,DE,Delaware City,2,Alexander Rittweger:2500000|European Investor Gate:2500000|PJ Tech Catalyst:450000|Dimitris Vranopoulos:450000,4,-,-,-,-,-,-,-,New Castle,2013,-1
Intarcia Therapeutics,Technology,852.305937,operating,USA,CA,Hayward,11,Alta Partners:100000000.0|Farallon Capital Management:200000000|Foresite Capital:200000000|Fred Alger Management:200000000|GGV Capital:260000000.0|Marker:160000000|New Enterprise Associates:155000000.0|New Leaf Venture Partners:305000000.0|Omega Funds:50000000|Quadrille Capital:250000000.0|RA Capital Management:200000000|Venrock:358000000.0,12,-,-,-,-,-,-,-,Alameda,1997,41.837551:-87.681844
IntegenX,Software,88.2,operating,USA,CA,Pleasanton,5,Amidzad Partners:4500000|Cross Creek Advisors:40000000|Domain Associates:73700000.0|Essex Woodlands Health Ventures:40000000|Greenspring Associates:40000000|Horizon Technology Finance:10000000|In-Q-Tel:38200000.0|QuestMark Partners:40000000|Rona Syndicates:62600000.0|RONAholdings:15600000|Samsung Ventures:58100000.0|Western Technology Investment:18100000,12,-,-,-,-,-,-,-,Alameda,2006,32.779542:-97.346335
Integral Wave Technologies,Hardware,16,operating,USA,TX,Austin,1,Centerpoint Ventures:16000000|Hunt Ventures:16000000|Rho Capital Partners:16000000,3,-,-,-,-,-,-,-,Travis,1997,37.296867:-121.819306
Integral Ad Science,Marketing,116.75007,operating,USA,NY,New York,6,Atlas Venture:47250000.0|August Capital:30000000|Coriolis Ventures:7250000|Founder Collective:7250000|Pelion Venture Partners:40000000.0|Sapphire Ventures:27000070|Silicon Valley Bank:40000000,7,-,-,-,-,-,-,-,New York,2009,37.296867:-121.819306
Integrata Security,Software,0.85,operating,USA,MD,Baltimore,2,TEDCO:100000,1,-,-,-,-,-,-,-,Baltimore City,2012,-1
Integrate,Software,46.75,operating,USA,AZ,Scottsdale,6,Comcast Ventures:25000000.0|Forté Ventures:7000000|Foundry Group:29250000.0|Liberty Global Ventures:25000000.0|Silicon Valley Bank:12500000|Trinity Capital Investment:12000000.0,6,-,-,-,-,-,-,-,Maricopa,2010,39.579827:-75.595083
